"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"8186","23","Masculino","Ensino Médio Completo","Solteiro (a)","Coordenador (a) Pedagógico","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",22740,8,"Não",47.375
"8193","22","Masculino","Ensino Superior Incompleto","Solteiro (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",37620,10,"Sim",62.7
"8197","44","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Identificação profissional com o tema","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",48900,4,"Sim",203.75
"8206","46","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",47640,4,"Sim",198.5
"8207","40","Feminino","Pós-graduação","União Estável","Professor (a)","Sem religião","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Raramente","Sim",33660,6,"Sim",93.5
"8234","28","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",48600,4,"Sim",202.5
"8249","48","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Espírita","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Raramente","Não",61020,4,"Sim",254.25
"8267","48","Feminino","Ensino Superior Completo","Solteiro (a)","Outros","Sem religião","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Organizado","Às vezes","Não",22500,7,"Não",53.5714285714286
"8307","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",26100,3,"Não",145
"8309","43","Feminino","Ensino Superior Completo","União Estável","Outros","Evangélica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",56520,3,"Sim",314
"8310","47","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",20040,3,"Não",111.333333333333
"8313","49","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",21240,4,"Não",88.5
"8318","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",33420,7,"Não",79.5714285714286
"8319","50","Feminino","Ensino Superior Completo","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Às vezes","Sim",4680,3,"Não",26
"8323","33","Masculino","Ensino Superior Completo","União Estável","Professor (a)","Sem religião","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Não",19200,12,"Não",26.6666666666667
"8328","51","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",59400,3,"Não",330
"8331","54","Feminino","Pós-graduação","Divorciado (a)","Diretor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",13620,4,"Não",56.75
"8335","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",54120,3,"Sim",300.666666666667
"8343","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Desorganizado","Sempre","Sim",37380,3,"Sim",207.666666666667
"8346","40","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação pessoal com o tema","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",23880,10,"Não",39.8
"8349","46 anos de idade","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",48600,4,"Sim",202.5
"8352","49","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",33000,6,"Não",91.6666666666667
"8357","58","Feminino","Pós-graduação","Casado (a)","Outros","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Às vezes","Sim",46620,7,"Não",111
"8364","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",55440,3,"Não",308
"8373","30","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",49860,5,"Não",166.2
"8384","44","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",14640,8,"Não",30.5
"8403","32","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",19860,7,"Não",47.2857142857143
"8422","24","Feminino","Ensino Superior Incompleto","Solteiro (a)","Estudante","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",18000,6,"Não",50
"8442","46","Masculino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",9120,7,"Não",21.7142857142857
"8446","55","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Às vezes","Não",22560,7,"Não",53.7142857142857
"8475","46","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",38040,7,"Sim",90.5714285714286
"8476","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",38040,7,"Sim",90.5714285714286
"8477","46","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Espírita","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",38040,7,"Sim",90.5714285714286
"8478","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",38040,7,"Sim",90.5714285714286
"8480","49","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",27540,7,"Não",65.5714285714286
"8491","48","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Espírita","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",43020,4,"Sim",179.25
"8496","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Às vezes","Sim",43140,5,"Sim",143.8
"8503","45","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Pouco importante","Desorganizado","Sempre","Sim",28260,9,"Não",52.3333333333333
"8511","49","Feminino","Pós-graduação","Divorciado (a)","Supervisor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim",34020,6,"Sim",94.5
"8512","55","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Muito flexível","Importante","Organizado","Sempre","Sim",14280,7,"Não",34
"8517","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",28200,5,"Não",94
"8518","quarenta e 8 anos","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Identificação pessoal com o tema","Adequado","Flexível","Importante","Organizado","Às vezes","Não",32340,6,"Não",89.8333333333333
"8525","56","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",62700,2,"Sim",522.5
"8526","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",62700,2,"Sim",522.5
"8528","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",52980,1,"Sim",883
"8529","cinquenta e um","Feminino","Ensino Superior Completo","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",52980,1,"Sim",883
"8530","47","Feminino","Pós-graduação","União Estável","Outros","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",49860,5,"Não",166.2
"8533","51","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",19620,10,"Não",32.7
"8535","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",20880,6,"Não",58
"8550","41","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",57060,3,"Sim",317
"8552","26","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Espírita","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Muito importante","Desorganizado","Sempre","Sim",53040,3,"Não",294.666666666667
"8554","46","Feminino","Ensino Superior Completo","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",6840,5,"Não",22.8
"8555","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",37860,7,"Sim",90.1428571428571
"8559","59","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",11460,5,"Sim",38.2
"8560","63","Masculino","Pós-graduação","Casado (a)","Outros","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouquíssimo flexível","Muito importante","Muito desorganizado","Às vezes","Não",2400,3,"Não",13.3333333333333
"8586","41 anos","Masculino","Ensino Superior Completo","Outros","Outros","Espírita","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",53220,6,"Sim",147.833333333333
"8600","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",44520,3,"Não",247.333333333333
"8601","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",44520,3,"Não",247.333333333333
